runNumber() eventNumber() chargedFE.eta() chargedFE.phi() chargedFE.e() chargedFE.pt() charge() signalType()
410000 21649 0.176191 1.19268 7495.69 7379.55 1 8208 
410000 21649 0.157254 1.45126 1518.52 1493.59 1 8208 
410000 21649 0.169985 1.35618 9642.86 9504.2 -1 8208 
410000 21649 -0.273207 0.456494 9253.71 8917.76 -1 8208 
410000 21649 0.268618 -1.76772 9206.62 8883.15 -1 8208 
410000 21649 0.280454 -1.72355 8431.28 8109.12 1 8208 
410000 21649 0.286486 -1.78293 8158.6 7833.73 -1 8208 
410000 21649 0.259232 -1.70924 5343.23 5166.83 1 8208 
410000 21649 -2.12263 0.547647 23520.5 5551.91 1 8208 
410000 21649 0.214349 -1.76697 5354.84 5232.36 -1 8208 
410000 21649 0.122694 1.32394 5129.77 5089.52 -1 8208 
410000 21649 0.308992 -1.73117 5297.07 5052.12 1 8208 
410000 21649 0.708246 -2.56204 5708.25 4523.74 -1 8208 
410000 21649 -1.21967 -1.98314 7611.18 4134.23 -1 8208 
410000 21649 -1.19672 -1.35354 2039.19 1126.65 1 8208 
410000 21649 0.17819 -1.75832 4156.62 4089.19 1 8208 
410000 21649 2.12566 1.38469 15145.2 3564.36 1 8208 
410000 21649 0.215005 1.15369 3610.24 3525.74 -1 8208 
410000 21649 0.804205 -2.55417 4495.42 3350.22 1 8208 
410000 21649 0.776035 -1.08171 4121.85 3129.04 1 8208 
410000 21649 -0.556216 2.68389 3527.85 3042.23 1 8208 
410000 21649 -1.41501 -1.65732 6518.95 2990.03 -1 8208 
410000 21649 0.983195 -0.453351 4348.81 2852.92 -1 8208 
410000 21649 -1.72094 2.79441 8036.46 2785.83 -1 8208 
410000 21649 0.313013 1.24873 2763.55 2630.12 -1 8208 
410000 21649 0.289504 0.934998 1081.18 1028.72 -1 8208 
410000 21649 -1.9827 0.727018 9571.09 2586.51 1 8208 
410000 21649 -0.473283 3.11634 2633.21 2360.2 1 8208 
410000 21649 -2.31136 2.39865 11759.9 2308.58 -1 8208 
410000 21649 -0.700465 2.82501 2895.42 2303.47 -1 8208 
410000 21649 -1.23145 -0.222111 4216.11 2266.67 -1 8208 
410000 21649 -1.26773 0.282224 2417.85 1259.08 1 8208 
410000 21649 0.568097 -1.37793 2610.88 2236.45 1 8208 
410000 21649 0.499998 2.10843 2496.72 2210.68 -1 8208 
410000 21649 1.54546 -1.9497 5322.36 2170.17 1 8208 
410000 21649 0.528457 -2.3959 2426.45 2119.53 -1 8208 
410000 21649 0.697637 -2.76626 2601.88 2072.9 1 8208 
410000 21649 0.0479605 -0.389719 2059.2 2052.11 -1 8208 
410000 21649 0.696777 -2.96007 2489.12 1983.83 -1 8208 
410000 21649 0.590049 -0.525337 2205.18 1866.33 1 8208 
410000 21649 2.42769 -0.00120737 10360.3 1814.11 1 8208 
410000 21649 0.514462 2.9866 1906.93 1675.2 1 8208 
410000 21649 0.339322 -1.57545 1761.03 1659.06 -1 8208 
410000 21649 0.2548 -1.78743 1122.18 1078.27 -1 8208 
410000 21649 0.412106 0.999406 1799.37 1651.7 1 8208 
410000 21649 1.64052 -2.4872 4296.78 1604.91 1 8208 
410000 21649 1.58967 -2.36399 2096.98 819.541 1 8208 
410000 21649 0.24155 2.46399 1626.69 1574.53 -1 8208 
410000 21649 -0.22892 0.926714 1578.63 1532.13 1 8208 
410000 21649 0.343653 1.17629 1481.54 1391.95 -1 8208 
410000 21649 0.0954444 0.726147 1395.68 1382.38 -1 8208 
410000 21649 2.16537 -2.57451 5919.28 1339.96 -1 8208 
410000 21649 0.60016 -2.86907 1562.04 1312.28 1 8208 
410000 21649 0.565277 0.639421 1531.44 1310.12 1 8208 
410000 21649 0.159922 -1.71973 1305.4 1281.49 -1 8208 
410000 21649 -0.22416 0.357436 1304.22 1264.82 1 8208 
